user_id,activity,date,start_time,end_time,duration_minutes,distance_km,calories_burned,heart_rate_avg,heart_rate_max,fatigue_level,satisfaction_level
User1,Swimming,2024-01-02,14:02:00,14:13:10,11.17,0.68,345.97,131,144,2,4
User1,Walking,2024-01-02,10:33:00,10:52:04,19.07,1.49,71.43,114,120,3,3
User1,Running,2024-01-03,07:16:00,08:25:47,69.79,9.33,577.94,145,150,1,4
User1,HIIT,2024-01-03,16:13:00,16:50:20,37.34,0.0,382.94,163,170,5,5
User1,Cycling,2024-01-05,11:28:00,12:49:38,81.64,20.94,818.49,140,153,5,4
User1,Walking,2024-01-06,06:23:00,06:55:51,32.86,3.13,134.12,101,107,1,3
User1,Yoga,2024-01-06,11:15:00,11:58:38,43.64,0.0,111.44,91,100,3,1
User1,HIIT,2024-01-08,13:44:00,14:13:15,29.26,0.0,320.98,159,171,3,2
User1,Walking,2024-01-10,19:38:00,20:01:51,23.86,1.8,99.09,114,126,1,4
User1,Running,2024-01-11,18:13:00,18:36:32,23.54,3.88,306.3,134,143,5,2
User1,Cycling,2024-01-13,17:50:00,18:06:04,16.07,5.78,183.28,132,143,4,2
User1,Swimming,2024-01-13,21:18:00,21:35:18,17.31,0.89,423.49,114,119,5,4
User1,Running,2024-01-14,21:52:00,22:44:44,52.75,7.92,547.07,148,154,1,2
User1,Yoga,2024-01-14,21:42:00,22:27:18,45.3,0.0,161.64,101,107,2,3
User1,Walking,2024-01-18,19:09:00,19:45:00,36.0,2.98,147.67,117,127,4,5
User1,Walking,2024-01-19,16:35:00,17:02:17,27.28,2.49,109.17,93,104,3,1
User1,Walking,2024-01-20,15:58:00,16:42:20,44.35,3.26,184.49,113,127,1,1
User1,Running,2024-01-21,07:14:00,08:05:47,51.79,6.55,398.77,150,156,3,4
User1,Running,2024-01-21,13:34:00,13:58:01,24.03,3.74,253.8,154,159,1,2
User1,Swimming,2024-01-22,17:07:00,17:46:56,39.95,2.0,1063.75,113,126,2,5
User1,Walking,2024-01-23,18:42:00,18:54:11,12.2,1.15,51.5,101,107,5,4
User1,HIIT,2024-01-24,14:24:00,14:40:18,16.31,0.0,177.02,148,158,1,2
User1,Running,2024-01-25,17:26:00,18:19:40,53.67,7.62,580.72,135,146,3,5
User1,Yoga,2024-01-30,10:07:00,11:22:05,75.1,0.0,220.82,93,100,3,4
User1,Running,2024-02-01,13:03:00,13:45:45,42.76,7.51,508.79,150,159,5,3
User1,Yoga,2024-02-03,21:24:00,21:59:58,35.97,0.0,119.7,109,114,2,4
User1,HIIT,2024-02-06,19:25:00,19:58:46,33.77,0.0,304.84,164,169,3,1
User1,Running,2024-02-09,14:49:00,15:31:58,42.98,5.41,387.68,151,158,1,3
User1,Cycling,2024-02-10,15:28:00,16:44:40,76.67,28.61,1052.69,147,160,2,2
User1,HIIT,2024-02-12,21:37:00,22:03:35,26.59,0.0,287.34,153,159,3,4
User1,Yoga,2024-02-14,13:58:00,14:56:34,58.57,0.0,222.06,98,104,2,4
User1,Walking,2024-02-14,12:34:00,13:02:55,28.92,2.15,115.93,97,102,1,5
User1,Running,2024-02-15,11:47:00,12:07:57,20.96,2.81,190.22,146,151,5,2
User1,Running,2024-02-16,13:13:00,14:18:19,65.32,9.72,696.86,137,148,5,1
User1,HIIT,2024-02-16,13:41:00,14:16:55,35.93,0.0,359.07,161,173,5,3
User1,Yoga,2024-02-19,19:25:00,20:48:46,83.77,0.0,203.14,106,116,3,1
User1,Cycling,2024-02-19,09:59:00,11:00:00,61.01,23.43,760.97,141,155,2,3
User1,HIIT,2024-02-20,10:18:00,10:34:41,16.69,0.0,169.24,162,176,4,3
User1,Yoga,2024-02-20,18:57:00,20:05:25,68.42,0.0,261.89,104,109,1,3
User1,Swimming,2024-02-22,08:36:00,08:51:30,15.51,0.98,487.73,111,124,5,4
User1,Cycling,2024-02-22,10:45:00,11:59:32,74.54,28.38,1152.05,140,147,2,1
User1,Cycling,2024-02-23,10:17:00,12:06:11,109.2,27.39,969.17,127,133,2,3
User1,Walking,2024-02-23,07:48:00,08:47:47,59.79,4.36,224.08,98,103,4,3
User1,HIIT,2024-02-26,09:50:00,10:33:52,43.87,0.0,486.63,152,163,4,3
User1,Cycling,2024-02-26,19:20:00,20:35:40,75.67,19.32,725.2,126,137,5,2
User1,HIIT,2024-02-28,13:37:00,13:58:33,21.55,0.0,204.43,156,163,1,2
User1,HIIT,2024-02-29,11:01:00,11:22:25,21.42,0.0,212.03,154,163,1,4
User1,Yoga,2024-02-29,07:06:00,08:35:10,89.17,0.0,314.98,94,107,1,5
User1,Yoga,2024-03-01,10:01:00,11:06:53,65.9,0.0,177.42,106,116,2,4
User1,Yoga,2024-03-02,14:31:00,15:37:21,66.36,0.0,249.26,91,98,5,4
User1,Swimming,2024-03-02,13:50:00,14:09:20,19.34,0.84,342.89,117,122,1,1
User1,Cycling,2024-03-04,06:10:00,06:40:49,30.83,8.65,280.11,143,151,4,5
User1,HIIT,2024-03-05,11:20:00,11:58:25,38.43,0.0,307.63,166,171,3,3
User1,HIIT,2024-03-05,07:29:00,08:08:06,39.1,0.0,408.45,166,174,3,2
User1,Cycling,2024-03-06,14:59:00,16:22:43,83.73,21.56,1026.84,145,156,5,5
